sample_id,source_id,pdf_page,block_indices,unit_within_group,unit_type,characters_with_spaces,characters_without_spaces,space_tokens,text_sha256,group_bbox
S05-01,S05,1,5,1,bullet_item,53,46,8,f4d4361729d0399e9049cd59c277de309d35df0eb1baded248ecdf754c12d2b6,"161.575,218.445,547.246,235.269"
S05-02,S05,1,6,1,bullet_item,27,22,6,4e3ec8c8f32305c4e92a0777ef228dc95f5287daf23a5c96f2c9b5a29d7f5d68,"174.331,241.074,370.071,255.522"
S05-03,S05,1,9,1,bullet_item,25,21,5,75b159749e2ecd1a95c5f25e9b8609347ae72dab90c75586dca05ea7352b0841,"174.331,296.829,374.061,311.277"
S05-04,S05,1,14,1,bullet_item,21,17,5,061d3062ec2eb25a1ed329e58f1f1de8745cc10dcdc1b8483b335963cef0708c,"174.331,383.42,332.428,397.868"
S05-05,S05,1,33,1,bullet_item,40,31,10,0d2876012378a5e6154b2c27b0a78d0e7fed767142d166ad659fb5eda628e847,"174.331,453.724,442.615,468.078"
S05-06,S05,1,34,1,bullet_item,43,32,12,a55b1b9b9fccc606cbfe63ec9df4f2f57f0dff2ce2e0bec10baddd52294bfd42,"174.331,472.126,490.768,486.479"
S05-07,S05,1,"35,36",1,bullet_item,71,56,16,e569a76dbd72ec352a2b811db4d7d91518699aa3f9718a6fa7f31f0aa1b0ec91,"174.331,490.528,548.939,519.881"
S05-08,S05,1,37,1,bullet_item,56,43,14,951a431bb5a5e86b9a831c1cfec01fdc3c3f3e8834af4fdb3a565a37bc4349cd,"174.331,523.929,536.506,538.283"
S05-09,S05,2,2,1,bullet_item,37,32,6,24fdff659894fcdcf03d1dcc29e5c606213c5389e2aa36f29487bf380fe3ca73,"174.331,105.01,442.415,119.458"
S05-10,S05,2,"3,4",1,bullet_item,81,65,17,b337689c6526a2b6e017111bc9cde7ec2ae4aed4de109868eecf1a97cb84120e,"174.331,125.68,548.911,155.086"
S05-11,S05,2,"5,6",1,bullet_item,89,69,21,a6430571e619b351fc319ac8e6d17481b4d921ab9cd8d16a9b5dd15473e96c0d,"174.331,161.402,548.991,190.755"
S05-12,S05,3,"1,2",1,bullet_item,77,61,17,112a55c9d9eafc0e4142225bca7f5cf220253631bccdd3afd1c42529fd7f17e9,"174.331,105.063,548.666,134.416"
S05-13,S05,3,"3,4",1,bullet_item,68,53,16,9e753ac932142d00d59b43d3e3c804dace4d40c7636f17d197c921e6717da52d,"174.331,136.48,548.98,165.834"
S05-14,S05,3,5,1,bullet_item,35,29,7,7f4fbd4579251eb287041759dac88a3d68aa86e1b285ac5435d1f15fc2b5366f,"174.331,167.898,463.174,182.251"
S05-15,S05,3,6,1,bullet_item,43,33,11,cc141571107a647124e75c5e61efd3a3c0cca0d4fce8b3b2373dc56ba89e477d,"174.331,184.315,508.283,198.669"
S05-16,S05,3,"62,63",1,bullet_item,64,54,11,c1f3193cebc738361531d20069b7b941c890f4f1256dbf7b4cc78013a1b74a26,"174.331,618.134,549.169,647.487"
S05-17,S05,3,64,1,bullet_item,30,27,4,797a652d74d449f6325905c6310a0583e7fa9c57754c7b2ea49ce5cdc57cd3a0,"174.331,649.551,390.987,663.905"
S05-18,S05,4,"3,4",1,bullet_item,49,38,12,b1a0be04060d933d4eb8ecb427ac78ec867c2ed968fa5aae0e275b67ee06c636,"161.575,82.382,549.391,114.206"
S05-19,S05,4,5,1,bullet_item,20,16,5,b35893f931a5eb820f03af43720b0e11dec91b87b31a5a590c2c7f269c0a9669,"174.331,120.01,338.403,134.458"
S05-20,S05,4,8,1,bullet_item,19,18,2,39825e45640acef9883ecf3fd9410ee0a1d0702afe01682f025eca40e3c17310,"174.331,175.767,326.349,190.215"
S05-21,S05,4,11,1,bullet_item,37,31,7,9415e5efefd042ce7b99ad29c359b7f95462c7d94f5cf3d2cc4417694fd4b1e1,"174.331,231.522,461.484,245.97"
S05-22,S05,4,12,1,bullet_item,26,21,6,f1e4d53930ae292357fade2f069132358fdeb3d5140a5e19b40f4740cc0b1f22,"174.331,253.609,386.85,268.057"
S05-23,S05,4,14,1,bullet_item,39,31,9,121ab311329eedcbbde3571210298d67725f2a10e67b142247cc5c6c15e06a90,"161.575,297.657,521.552,314.481"
S05-24,S05,4,15,1,bullet_item,55,49,7,dec350c34427c6a45183dee135ba01bbd9e0fd459f4c2d756ddd0cd211889e38,"174.331,320.286,544.564,334.734"
S05-25,S05,4,16,1,bullet_item,25,21,5,56074f234b7af99938badedf91efc16c08d3c7bd196de127c303a8259147eab1,"174.331,338.121,366.207,352.569"
S05-26,S05,4,17,1,bullet_item,40,31,10,9f57d6be4d8f14db72f8cd5f7bfb87f78a300f4bbcd6ec99093898d54e6c4514,"174.331,355.955,469.726,370.403"
S05-27,S05,4,"22,23",1,bullet_item,112,92,21,c0d96f88ae8f2b392b70e8db932ed30cabcbb8d630c8746b183bc7d424601d67,"174.331,419.656,549.054,464.104"
S05-28,S05,4,"25,26",1,bullet_item,81,67,15,4c2fa866feb99ace3b398b48aa58d27f6512c98f48f250a2811a1fe0e6ab3562,"174.331,488.577,549.071,517.983"
S06-01,S06,2,"1,2,3,4,5",1,sentence,79,62,18,f2d6cc95c96ff293e9afa2e82e51e17a8698baa13640511fce273aae038f99fa,"56.64,160.368,297.76,241.848"
S06-02,S06,2,"1,2,3,4,5",2,sentence,47,34,14,34e2f137a9f77e0b7707e74631f0485c0fd9859f3dde1032def351b95347c7cc,"56.64,160.368,297.76,241.848"
S06-03,S06,2,"1,2,3,4,5",3,sentence,40,32,9,8c1658ed8c2bdcafc4a56fc1dbf84edea4c8246af3d5fbf12c35732194d025fe,"56.64,160.368,297.76,241.848"
S06-04,S06,2,"7,8,9,10,11,12,13,14,15,16,17",1,sentence,42,34,9,e4c56a8342c371c424709c5e10d2126353620abaca891b9f2cb497e09fd589c8,"56.64,284.208,297.76,471.288"
S06-05,S06,2,"7,8,9,10,11,12,13,14,15,16,17",2,sentence,155,118,38,3a3a4789a13fd94892c6d8c5c539a9c1283ccc00e9050941bcca756fbc7a9603,"56.64,284.208,297.76,471.288"
S06-06,S06,2,"7,8,9,10,11,12,13,14,15,16,17",3,sentence,84,65,20,d9d983485c8a93d8df5f7d2d558e890a7a63f60d383f164464ab39b42c6a7050,"56.64,284.208,297.76,471.288"
S06-07,S06,2,"7,8,9,10,11,12,13,14,15,16,17",4,sentence,79,61,19,3b8ba624a5721fb7da65c670b075f06395786505741c1fb913f30331ddd2f0b3,"56.64,284.208,297.76,471.288"
S06-08,S06,2,"18,19,20,21,22,23,24,25,26",1,sentence,30,24,7,f0ff3ed985f423ed08cdd2a97425080252bc2f1825821c85d195e6e43a5a031b,"56.64,484.848,297.999,636.648"
S06-09,S06,2,"18,19,20,21,22,23,24,25,26",2,sentence,48,36,13,9e890ccbff080cf153e3fef70fe690ca4d23d411f4b2baffcdf346a71d72904a,"56.64,484.848,297.999,636.648"
S06-10,S06,2,"18,19,20,21,22,23,24,25,26",3,sentence,131,100,32,3c4bc4a8f56fa3c26427ddda79c9bb47db2bed4db90d5191eae9598f1a4f26a3,"56.64,484.848,297.999,636.648"
S06-11,S06,2,"18,19,20,21,22,23,24,25,26",4,sentence,102,78,25,0ae242b4d801cd922c3111dfbc78e4e37d7e3f3896d291d933b5575b3bd84574,"56.64,484.848,297.999,636.648"
S06-12,S06,2,"28,29,30,31,32,36,37,38,39,40,41,42,43,44",1,sentence,48,37,12,d7f442b4b72c75ff80d684464ef911b8ed0873bc543cbb408c531d204b63d6c6,"56.64,116.808,558.519,760.488"
S06-13,S06,2,"28,29,30,31,32,36,37,38,39,40,41,42,43,44",2,sentence,129,101,29,9799ea3eb2205f92dcc896cc683eec2ed9571b96e8fafd5b5734a0d8ee6c08b6,"56.64,116.808,558.519,760.488"
S06-14,S06,2,"28,29,30,31,32,36,37,38,39,40,41,42,43,44",3,sentence,100,77,24,e11755998c36ea221c731a7e7e91a22338a096d6f1433da83ff865fa37d2efec,"56.64,116.808,558.519,760.488"
S06-15,S06,2,"28,29,30,31,32,36,37,38,39,40,41,42,43,44",4,sentence,106,86,21,15fe56de0ca89665a28e7b12e7c9ad15918ec1b938fb22c11d79dbb785daba8c,"56.64,116.808,558.519,760.488"
S06-16,S06,2,"28,29,30,31,32,36,37,38,39,40,41,42,43,44",5,sentence,70,53,18,6c10357021c943979b04782b92cdc01fa702262e449ced569105f222fbbf5732,"56.64,116.808,558.519,760.488"
S06-17,S06,2,"46,47,48,49,50,51,52,53,54,55,56,57",1,sentence,74,60,15,7bfaa3b9cf9db66038a653d0a2f76319c637e61b34ef87460bfe51cbfae5f510,"317.4,311.088,558.519,515.688"
S06-18,S06,2,"46,47,48,49,50,51,52,53,54,55,56,57",2,sentence,66,52,15,85a8fff2cf2195b7f8e630b493b470e3d002064abaa28f4b8ed737403b60568b,"317.4,311.088,558.519,515.688"
S06-19,S06,2,"46,47,48,49,50,51,52,53,54,55,56,57",3,sentence,129,101,29,f661e2a83ac68ec59f5342a20c1ea0a804933e13dcce4034327e921b68b101cc,"317.4,311.088,558.519,515.688"
S06-20,S06,2,"46,47,48,49,50,51,52,53,54,55,56,57",4,sentence,55,43,13,6337ec2695193d3967afa16732d9f2beca839e098cceb1f5493418fd3d5bf203,"317.4,311.088,558.519,515.688"
S06-21,S06,2,"46,47,48,49,50,51,52,53,54,55,56,57",5,sentence,82,65,18,229e0ee1300bbad7b63a91068d88a1f93123665d5f0cce223624fd35274c394f,"317.4,311.088,558.519,515.688"
